Year,Week,Team name,Opponent name,1st Downs,Passing 1st downs,Rushing 1st downs,1st downs from penalties,Total Plays,Total Yards,Total Drives,Yards per Play,Passing,Yards per pass,Interceptions thrown,Rushing,Rushing Attempts,Yards per rush,Turnovers,Fumbles lost,Interceptions thrown.1,Defensive / Special Teams TDs,Points scored,Points allowed,3rd down conv,3rd down att,4th down conv,4th down att,Pass comp,Pass att,Opponent sacks,Yds lost on sacks,Redzn Conv,Redzn Att,Tot penalties,Penalty Yds,TOP(sec),Win(1) / Loss(0)
2023,17,Jaguars,Panthers,16,9,6,1,62,317,11,5.1,162,6.0,0,155,35,4.4,0,0,0,0,26,0,7,16,1,1,17,24,3,16,1,5,1,15,2009,1
2023,17,Dolphins,Ravens,20,13,6,1,66,375,12,5.7,221,5.4,2,154,25,6.2,3,1,2,0,19,56,6,15,2,4,22,38,3,16,2,3,5,37,1777,0
2023,17,Ravens,Dolphins,24,15,8,1,55,491,13,8.9,331,14.4,0,160,32,5.0,1,1,0,0,56,19,4,7,1,1,19,22,1,9,5,5,7,45,1823,1
2023,17,Titans,Texans,11,7,3,1,53,187,10,3.5,134,4.2,0,53,21,2.5,1,1,0,0,3,26,1,12,2,4,18,26,6,50,0,1,3,15,1609,0
2023,17,Texans,Titans,20,12,7,1,61,312,8,5.1,201,6.1,0,111,28,4.0,0,0,0,1,26,3,3,11,0,0,24,32,1,12,1,3,1,6,1991,1
2023,17,Steelers,Seahawks,25,11,14,0,71,468,10,6.6,266,10.6,0,202,46,4.4,0,0,0,0,30,23,6,13,2,3,18,24,1,8,3,7,2,10,2253,1
2023,17,Seahawks,Steelers,17,13,4,0,49,369,9,7.5,281,8.3,0,88,15,5.9,1,1,0,0,23,30,3,9,0,0,23,33,1,9,2,3,4,25,1347,0
2023,17,Chargers,Broncos,17,10,6,1,63,301,10,4.8,215,5.5,0,86,24,3.6,1,1,0,0,9,16,2,11,1,2,24,38,1,5,0,1,3,48,1574,0
2023,17,Broncos,Chargers,16,7,8,1,67,313,11,4.7,212,6.2,0,101,33,3.1,0,0,0,0,16,9,7,17,1,1,20,32,2,12,0,2,7,49,2026,1
2023,17,Bengals,Chiefs,20,11,7,2,71,263,10,3.7,159,4.1,0,104,32,3.3,0,0,0,0,17,25,8,16,1,3,19,33,6,38,2,4,3,20,2057,0
2023,17,Chiefs,Bengals,15,10,4,1,53,373,10,7.0,241,7.8,0,132,22,6.0,1,1,0,0,25,17,3,12,1,1,21,29,2,4,1,3,3,39,1543,1
2023,17,Packers,Vikings,28,17,9,2,73,470,10,6.4,293,8.6,0,177,39,4.5,1,1,0,0,33,10,9,14,0,1,25,34,0,0,2,4,4,32,2252,1
2023,17,Vikings,Packers,13,10,1,2,52,211,11,4.1,144,4.0,1,67,16,4.2,2,1,1,0,10,33,3,10,0,2,18,32,4,36,1,3,6,27,1348,0
